,Unnamed: 0,Unnamed: 0.1,place_guess,latitude,longitude,scientific_name,common_name,Wojewodztwo
0,0,0,"DÄ…broszyn, Lubusz, Poland ",52.5815010071,14.644100189200001,Ardea cinerea,czapla siwa,j
1,1,1,"DÄ…broszyn, Lubusz, Poland ",52.5815010071,14.644100189200001,Ciconia ciconia,Bocian biały,j
2,2,2,Poland,52.6976384755,23.8684024454,Clanga pomarina,Orlik krzykliwy,j
3,3,3,,52.6907012902,23.831148147600004,Emberiza hortulana,Ortolan,j
4,4,4,Wierzchoslawice,50.021720553,20.8567285538,Ciconia ciconia,Bocian biały,j
5,5,5,"Lesser Poland, PL",50.18799686569999,20.9371936454,Circus aeruginosus,Błotniak stawowy,j
6,6,6,"Lesser Poland, PL",50.1607881746,20.9022786645,Circus aeruginosus,Błotniak stawowy,j
7,7,7,"Lesser Poland, PL",50.0171685404,20.9478564166,Ciconia nigra,Bocian Czarny,j
8,8,8,"Brzesko|Brzeg, PL-MA, PL",50.0373932387,20.8049297333,Dendrocopos major,Dzięcioł duży,j
9,9,9,"Gdansk, PL",54.38202800000001,18.720109,Cygnus olor,Łabędź niemy,j
10,10,10,"Warmian-Masurian, PL",53.585418088900006,21.4866941725,Haliaeetus albicilla,Bielik,j
11,11,11,"Podlachian, PL",53.6676288741,22.508157818,Gallinago media,Dubelt,j
12,12,12,Poland,52.7919514972,23.8780692156,Picoides tridactylus,Dzięcioł trójpalczasty,j
13,13,13,Bialowieza,52.714563,23.822308,Locustella luscinioides,Brzęczka,j
14,14,14,"Wroclaw, Poland",51.10893,17.077174,Corvus cornix,Wrona siwa,j
15,15,15,"Krakow, Poland",50.062533,19.917483,Regulus regulus,Mysikrólik,j
16,16,16,"Krakow, Poland",50.062533,19.917483,Sitta europaea,Kowalik,j
17,17,17,"Krakow, Poland",50.062533,19.917483,Parus major,Bogatka,j
18,18,18,"Krakow, Poland",50.062533,19.917483,Corvus frugilegus,Gawron,j
19,19,19,"Krakow, Poland",50.062533,19.917483,Columba livia domestica,Gołąb miejski,j
20,20,20,"Krakow, Poland",50.062533,19.917483,Cyanistes caeruleus,Modraszka,j
21,21,21,"Krakow, Poland",50.061156,19.918942,Corvus monedula,Kawka,j
22,22,22,"Krakow, Poland",50.061156,19.918942,Garrulus glandarius,Sójka,j
23,23,23,"Krakow, Poland",50.053579,19.932761,Cygnus olor,Łabędź niemy,j
24,24,24,"Krakow, Poland",50.053579,19.932761,Chroicocephalus ridibundus,Śmieszka,j
25,25,25,"Krakow, Poland",50.053579,19.932761,Anas platyrhynchos,Krzyżówka,j
26,26,26,"West Pomeranian, PL",53.7634483432,14.4966251929,Haliaeetus albicilla,Bielik,j
